terrai_nome;etnia_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;reestudo_ti;faixa_fronteira;NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;Total -educacao infantil;Creche;Pré-Escola;Total - findamental;Anos Iniciais fundamental;Anos Finais -fundamental;Ensino Médio;Educação Profissional;Educação de Jovens e Adultos (EJA);Educação Especial
Boqueirão;Makuxí,Wapixana;Alto Alegre;RR;16354,0776;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400050.0;Alto Alegre;Rural;48,5;44,4;50;51,5;60,9;48,2;75,3;--;63,5;--
Boqueirão;Makuxí,Wapixana;Alto Alegre;RR;16354,0776;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sudeste;SP;3501103.0;Alto Alegre;Total;66,7;33,3;100;100;100;100;92;--;--;100
Boqueirão;Makuxí,Wapixana;Alto Alegre;RR;16354,0776;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sudeste;SP;3501103.0;Alto Alegre;Urbana;66,7;33,3;100;100;100;100;92;--;--;100
Boqueirão;Makuxí,Wapixana;Alto Alegre;RR;16354,0776;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sul;RS;4300554.0;Alto Alegre;Total;100;100;100;96;90,9;100;100;--;--;--
Boqueirão;Makuxí,Wapixana;Alto Alegre;RR;16354,0776;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sul;RS;4300554.0;Alto Alegre;Urbana;100;100;100;100;100;100;100;--;--;--
Boqueirão;Makuxí,Wapixana;Alto Alegre;RR;16354,0776;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sul;RS;4300554.0;Alto Alegre;Rural;--;--;--;90;80;100;--;--;--;--
Bragança-Marituba;Mundurukú;Belterra;PA;13515;Declarada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1501451.0;Belterra;Total;87,1;100;85,2;93,6;100;92,1;97,1;--;96,9;--
Bragança-Marituba;Mundurukú;Belterra;PA;13515;Declarada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1501451.0;Belterra;Urbana;88;100;85,7;100;100;100;97,1;--;94,1;--
Bragança-Marituba;Mundurukú;Belterra;PA;13515;Declarada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1501451.0;Belterra;Rural;83,3;--;83,3;90,2;100;88,7;--;--;100;--
Buritizinho;Guarani Kaiowá;Sidrolândia;MS;9,7428;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MS;5007901.0;Sidrolândia;Total;90,8;93,1;88,2;92;91,3;91,9;92,8;80;80,8;93,3
